asin,stars,title,text,Price (value),Quality,Aesthetics,Customer service,Functionality,Enjoyable,Ease of use
B013JLOTUS,2,Didn’t last long,"Lasted one month. Now my phone doesn’t recognize it and the sheath that fits over the plug, has slid off of the plug portion.",n/a,-1,n/a,n/a,-1,n/a,n/a
B013JLOTUS,5,Great,Totally worth buying and not disappointed at all,1,1,n/a,n/a,n/a,n/a,n/a
B013JLOTUS,1,High charging failure rate,"VERY HIGH FAILURE RATE! disappointing with the durability and quality of the cable. Not charging after using it a few times. Agreed with previous comments, spend a little bit more and go with a more genuine cable .",n/a,-1,n/a,n/a,-1,n/a,n/a
B013JLOTUS,5,Loved this length!,Loved this length for my small tower charger,n/a,n/a,n/a,n/a,1,n/a,n/a
B015Z7XE0A,2,It's doing the job as of now but it's poorly made.,"I bought this converter because it had good reviews and looked sleek. The day I received it arrived it felt like something was loose but I didn’t pay any mind to it. After a few days of using it, the shell came off.  It still functions but doesn't look sleek. This product is really cheaply made. I hope it continues to function. 🤞 I will update this review if it dies on me.",n/a,-1,1,n/a,1,n/a,n/a
B015Z7XE0A,5,A Good Choice,"Does the job very nicely and is attractive looking...matching space gray almost perfectly.  I have it in a slot next to the power cord.  Snug, but both fit.",n/a,n/a,1,n/a,1,n/a,n/a
B015Z7XE0A,5,small and effective,Great product that does exactly as it should for a reasonable price,1,1,n/a,n/a,1,n/a,n/a
B015Z7XE0A,5,Great product,Great product,n/a,n/a,n/a,n/a,1,n/a,n/a
B015Z7XE0A,1,Stopped working after about 1 month!,"At first, this was an amazing product. Had zero trouble connecting straight from the package. I was up and running within literally seconds on my new MacBook Pro with the control bar. Sadly, after only about a month of use it began to get really hot while plugged in and then just flat out stopped working.",n/a,-1,n/a,n/a,n/a,n/a,1
B015Z7XE0A,1,uses too much power almost broke my macbook,"I needed an adapter while traveling to reset my phone. Yeah, this adapter is good at one thing DESTRUCTION! my laptop now has to be taken to apple and so does the phone. IF I were you I wouldn't purchase this and save yourself the headache NEVER again.",n/a,n/a,n/a,n/a,-1,n/a,n/a
B015Z7XE0A,3,Doesn’t fit USB Wireless Receiver,"My laptop has only USB-C ports. Therefore, I can’t plugin a USB wireless receiver. So I purchased this small adapter. It works fine however it didn’t fit the whole USB receiver in it. The USB receiver fits only half way. It should be the same for other devices as well. That’s the big downside of this adapter.Update:  Image attached.",n/a,n/a,n/a,n/a,-1,n/a,n/a
B015Z7XE0A,4,"Nice look and feel, Flawed Design","The aesthetic of this product looks great, however the design is a major flaw especially on the 2017 Macbook Pro. I have the Nonda USB-C to HDMI adapter as well and cannot plug both plugs in as this USB-C to USB 3.0 adapter is too bulky. Would not recommend.Edit: Although the product wasn't used as intended. Customer service reached out to me to solve my issue in a timely and professional manner. I would not buy this product again, but I will certainly still do business with them.",n/a,n/a,1,1,-1,-1,n/a
B015Z7XE0A,5,Great low cost adapter does the job,I've used this adapter for a webcam peripheral and to plug in an audio mixing board to record audio. Both have worked great. Now that my laptop only has usb-c it's nice not to have to break the bank to get an adapter for it.,1,n/a,n/a,n/a,1,n/a,n/a
B015Z7XE0A,5,Works grea,Works great,n/a,n/a,n/a,n/a,1,n/a,n/a
B07CZTZLB8,3,Short cable,"Work good, but. The cable is too short.",n/a,n/a,n/a,n/a,1,-1,n/a
B07DC1LS7C,5,Great value!,Nice product,1,n/a,n/a,n/a,1,n/a,n/a
B07H4VQ4BZ,5,Solved My Problem,I needed a way to attach my work laptop to a TV at home and it has no HDMI or VGA connections. I ordered this device and it works wonderfully!,n/a,n/a,n/a,n/a,1,n/a,n/a
B07J65G9DD,4,Good for price,"Works as advertised. Pretty much just plug and play. It also comes with a mini cd to install drivers but I found it to be okay without installing them. Speed is pretty good for $20, very stable connection.",1,1,n/a,n/a,1,n/a,1
B07J65G9DD,5,Awesome Speed,"I purchased the TechKey WiFi adapter for an older laptop that did not have a 5 GHz WiFi card needed to take advantage of a newly installed 80 Mbps DSL line.Much to my delight, installation of the TechKey WiFi adapter was easy plug 'n play for Windows 10.  But the best surprise was the awesome outcome of the speed test.  With a newer laptop, connected directly to the modem with an Ethernet line, I was getting ONLY 55 Mbps download connected to the 80 Mbps DSL.  After installation of the TechKey WiFi adapter on the older laptop, the speed test reported a ripping 75 Mbps!I couldn't resist plugging in the TechKey WiFi adapter to the newer laptop and PRESTO, I got 75 Mbps on the speed test.  Faster download speed than a direct connection to the Ethernet line!  I will be ordering another one of these!!!In my scoring of the TechKey WiFi adapter, I gave 5 stars for Tech Support even though I have had no occasion to contact Tech Support.",n/a,1,n/a,1,n/a,1,n/a
B07J65G9DD,3,broke after a few months,"Was pretty darn fast for the most part. I can see wifi networks, I can attempt to connect. Fails. Tried a system restore to see if it was my computer, no change.",n/a,-1,n/a,n/a,1,n/a,n/a
B07J65G9DD,1,Well that was a joke,Product comes with extremely poor documentation. Apparently the website for drivers doesn't exist and it says it comes with drivers on cd (spoiler: it doesn't).It refuses to connect to the 5ghz radio on my router. I can get it to connect to the 2.4ghz but even though it is only a few feet away it constantly drops connection.When connection is active I get about 10Mbps of throughput on a 35Mbps connection.I can only conclude all the positive reviews on this site are astroturf because this product is a joke. Do not buy it.,n/a,-1,n/a,-1,-1,n/a,-1
B07J65G9DD,1,Worked good for 2 months ...,"Install was easy. It automatically connected to our home Wi-Fi for the first month. Then it started to intermittently connect and I had to toggle back and forth with the internet connection settings.Now, 2 months after I bought it, it the connection is very inconsistent and there are times it will not connect at all.Of course, I am outside the return window and am screwed.I chose this device because it specifically said it wouldn't have this problem like all the others do!!!",n/a,-1,n/a,n/a,-1,n/a,1
B07J65G9DD,4,Easy Install Rating 4 Because Dropped 5G; No Website Tech Support (Website),I rated a 4 because install was super easy and I love the swivel action! Tech support is not available online or in the manual. No FAQs or forum online. My 5Ghz  dropped 3 times and didn't automatically reconnect in the span of about 2 hours. That led me to look for tech support. The manual included in the downloadable driver files is also printed and included in the package. Neither have troubleshooting information.,n/a,n/a,n/a,-1,1,n/a,1
B07J65G9DD,5,It was a good experience to buy this device,"Firstly I can say it is an Amazon choice device which is important for me when I am shopping in Amazon.Secondly it has an incredible discount now then don't hesitate and buy it with several simple clicks.Moreover, its installation was really easy and it has a good user manual provided. Also, it has tutorial for both mac and windows.In addition, there is no need to mention that lots of customers bought this device and it is one of popular wifi adapters in amazon.",1,n/a,n/a,n/a,n/a,n/a,1
B07J65G9DD,1,Worked only a month!,"Bought this Wifi adapter since I started working from home permanently and the office computer don't have wifi connection. Bought it and worked fine for a month, after that the wifi shows connected but no internet working. This is the adapter as I connected to two different computers and did the same thing and sure is not the wifi signal because everything else stays connected. DO NOT RECOMMEND! Sucks and the worst part is that is too late for me to return it now.",n/a,-1,n/a,n/a,-1,n/a,n/a
B07J65G9DD,1,WINDOWS 7 PRO WARNING! DO  NOT  BUY!,"POS would not work despite using drivers from multiple sources (included CD and internet). Would not let my computer completely reboot after restart. Screen stayed black until the POS was removed from my USB port. Drivers are garbage, it starts out DISABLED and would not load any of the 10 wifi signals that my phone can pick up from my home as well as those around me. It just sat there blinking whenever you tried to select it (left side of the window) to select the wifi signal you wanted to use. If you have windows 7, find something else to use!",n/a,-1,n/a,n/a,-1,n/a,n/a
B07J65G9DD,3,Not bad overall. Great solution for a laptop with a broken wifi card,"This product was okay. It worked fine until I broke it. The speed was decent but it wasn't always consistent. Still, if you need a quick solution for a laptop this isn't bad. If you have a desktop though, this isn't the way to go.",n/a,-1,n/a,n/a,n/a,n/a,n/a
B07J65G9DD,3,broke after a few months,"Was pretty darn fast for the most part. I can see wifi networks, I can attempt to connect. Fails. Tried a system restore to see if it was my computer, no change.",n/a,-1,n/a,n/a,n/a,n/a,n/a
B07J65G9DD,3,Not bad overall. Great solution for a laptop with a broken wifi card,"This product was okay. It worked fine until I broke it. The speed was decent but it wasn't always consistent. Still, if you need a quick solution for a laptop this isn't bad. If you have a desktop though, this isn't the way to go.",n/a,-1,n/a,n/a,1,n/a,n/a
B07J65G9DD,4,Solid simple WiFi adapter for USB,"The fit and finish were a little sloppy, but overall the product is solid and simple. It installed easily with the included driver disk, and has worked flawlessly since install. I would buy it again, and I would recommend it to a friend or family member.",n/a,n/a,-1,n/a,1,1,1
B07J65G9DD,1,Didn't work on 5G.,"Didn't work too good with Win 10 on the 5G channel.  But from what I've been reading, this is not unusual.  I tried it anyway because sometimes it does work.",n/a,n/a,n/a,n/a,-1,n/a,n/a
